,Seizure.Date,Cannabis,Cocaine,Heroin,,,
372,1/7/2013,274.274,16.0659,7.509,,,
373,1/8/2013,9378.59172,6.6698,151.81789,,,
374,1/9/2013,363.909643,19.719184,8.176,,,
375,1/10/2013,1006.580928,73.7461,34.591989,,,
376,1/11/2013,133.7391733,83.7302,19.2740119,,,
377,1/12/2013,7906.48544,590.376576,7.6464,,,
378,1/13/2013,593.185,3578.8323,52.631,,,
379,1/14/2013,3841.34567,19.84665,18.13103,,,
380,1/15/2013,759.31905,52.57491,5.8450073,,,
381,1/16/2013,561.80038,188.461,42.8213,,,
382,1/17/2013,400.3542,626.06098,92.174337,,,
383,1/18/2013,1995.816656,821.54919,88.316042,,,
384,1/19/2013,8818.586551,98.7598,0.60057,,,
385,1/20/2013,204.5783375,2515.9143,24.544035,,,
386,1/21/2013,718.445634,3849.0019,9.1024432,,,
387,1/22/2013,200.9139,16.9302,11.829,,,
388,1/23/2013,782.404527,46.67445,3.359,,,
389,1/24/2013,1909.545556,789.965395,6.4806942,,,
390,1/25/2013,3188.401953,892.0518,1.444309,,,
391,1/26/2013,1434.54,64.3605,93.831,,,
392,1/27/2013,296.779,108.414057,42.9111,,,
393,1/28/2013,93.99517,153.44764,13.565607,,,
394,1/29/2013,460.818585,160.4136,160.6271,,,
395,1/30/2013,540.4514833,117.8856,8.2142419,,,
396,1/31/2013,362.940762,1336.836356,26.0609702,50859,17168,2073
397,2/1/2013,2544.87553,411.3793,1.7254,,,
398,2/2/2013,67.088,38.27764,146.405,,,
399,2/3/2013,225.6445,469.1489,8.391986,,,
400,2/4/2013,5540.73534,24.4289,3.195224,,,
401,2/5/2013,3444.773455,66.2129,8.929114,,,
402,2/6/2013,2574.965223,794.699975,5.474,,,
403,2/7/2013,418.933444,889.56114,16.748208,,,
404,2/8/2013,197.392205,92.758686,3.95585,,,
405,2/9/2013,65.7459,144.8293,1.74302,,,
406,2/10/2013,868.729,824.93848,0.885062,,,
407,2/11/2013,1559.884889,17.87429,41.1952,,,
408,2/12/2013,3943.435475,68.9472,26.355,,,
409,2/13/2013,2831.122136,16.10167,19.1069577,,,
410,2/14/2013,566.069501,1789.994008,11.254106,,,
411,2/15/2013,846.1105,24.20826,6.1533,,,
412,2/16/2013,1508.5888,617.242199,537.551,,,
413,2/17/2013,861.757,70.5689,6.069,,,
414,2/18/2013,254.809342,135.7832,14.5807213,,,
415,2/19/2013,1104.6929,67.138289,12.5540131,,,
416,2/20/2013,8039.048802,184,64.2865926,,,
417,2/21/2013,1326.495064,2137.2436,11.769604,,,
418,2/22/2013,618.878995,95.2867,2.8440008,,,
419,2/23/2013,1646.483319,20.9077,2.55,,,
420,2/24/2013,5241.0538,36.5086747,186.388317,,,
421,2/25/2013,908.738332,58.202358,1147.033763,,,
422,2/26/2013,498.265153,1093.512895,14.9462,,,
423,2/27/2013,2155.2705,1254.93378,1.055,,,
424,2/28/2013,1583.640049,707.4043,9.0613896,51443,12152,2312
425,3/1/2013,8757.748643,1840.174274,11.2544,,,
426,3/2/2013,3713.2153,282.3803,3.435915,,,
427,3/3/2013,4984.172804,18.55865,1.20481,,,
428,3/4/2013,7116.170837,830.77614,54.5842946,,,
429,3/5/2013,1580.708309,1099.9859,14.3126,,,
430,3/6/2013,5904.136659,2786.078544,19.446888,,,
431,3/7/2013,2413.191385,138.922924,14.9048,,,
432,3/8/2013,778.56642,866.6692,2.883,,,
433,3/9/2013,2222.0934,23.11039,23.29219,,,
434,3/10/2013,900.0412,823.2144,6.0365,,,
435,3/11/2013,4224.890666,92.8302,10.65,,,
436,3/12/2013,340.3607,2052.1665,223.8758819,,,
437,3/13/2013,381.65066,6342.88861,51.146,,,
438,3/14/2013,629.66802,227.7227,13.4765,,,
439,3/15/2013,173.8463849,2445.3047,32.715317,,,
440,3/16/2013,490.243,87.73079,3.019018,,,
441,3/17/2013,6448.423,583.7636,33.58299,,,
442,3/18/2013,463.117,272.9574,2.5585625,,,
443,3/19/2013,485.0177543,332.33507,3.567044,,,
444,3/20/2013,414.449558,8230.737907,45.6734073,,,
445,3/21/2013,149.681,1619.3091,6.152,,,
446,3/22/2013,253.183039,399.34616,3.4654,,,
447,3/23/2013,1897.17665,50.55155,249.4304003,,,
448,3/24/2013,3892.597567,243.4577,11.4078,,,
449,3/25/2013,164.8082302,782.4263,8.3022012,,,
450,3/26/2013,1107.22743,1987.952107,44.9950493,,,
451,3/27/2013,5253.738996,756.48772,37.5653,,,
452,3/28/2013,180.5792349,274.8932,15.9803693,,,
453,3/29/2013,296.9366156,994.9575,15.3216746,,,
454,3/30/2013,103.88368,332.1219,2.801136986,,,
455,3/31/2013,538.172263,5.211,11.316,66260,36825,978
456,4/1/2013,1374.03729,299.8397,18.0031671,,,
457,4/2/2013,112.201764,121.70789,10.7990732,,,
458,4/3/2013,1970.128401,41.4237,3.176,,,
459,4/4/2013,1054.033,163.516738,16.3601448,,,
460,4/5/2013,437.389429,95.802519,6.8904,,,
461,4/6/2013,22672.6045,1385.858382,5.702,,,
462,4/7/2013,1257.168,1303.509,3.387,,,
463,4/8/2013,5315.873178,274.438159,4.769653,,,
464,4/9/2013,1415.24448,695.228656,8.1215265,,,
465,4/10/2013,11434.07002,509.493057,18.588551,,,
466,4/11/2013,221.8748,398.9938,1.777,,,
467,4/12/2013,236.2723523,509.7353,19.7999531,,,
468,4/13/2013,476.164,145.8478189,105.58811,,,
469,4/14/2013,1929.08,249.2467,4.7781,,,
470,4/15/2013,2062.221,25.54532,29.996,,,
